part_name,occurrences
28504_000_A01_1_COMPRESSION_LIMITER__M2_5,1
28504_000_A01_1_COMPRESSION_LIMITER__M2_6,1
28504_000_A01_1_COMPRESSION_LIMITER__M2_7,1
28504_000_A01_1_COMPRESSION_LIMITER__M2_8,1
28504_000_A01_1_COMPRESSION_LIMITER__M2_9,1
28537_001_C02_1_PARALAND_SCREW__PARALAND_ASSY__DROID__P2,2
28537_001_C02_1_PARALAND_SCREW__PARALAND_ASSY__DROID__P2_1,2
28829_001_B03_1_BURST_PLATE__BATTERY__DROID__P2,2
28844_000_A04_1_SOM__COMPUTE__ZIP__P2,8
28931_001_B02_1_MICA__BATTERY__DROID__P2,2
29174_003_A01_1_CASE_ASSY__BATTERY__DROID__P2,15
29402_001_C01_1_BRACKET__CASE_ASSY__BATTERY__DROID__P2,1
29458_000_A02_1_COMP_LIMITER__M2_5_X_1_5_TALL__MOLD_IN,1
29458_000_A02_1_COMP_LIMITER__M2_5_X_1_5_TALL__MOLD_IN_1,1
29458_000_A02_1_COMP_LIMITER__M2_5_X_1_5_TALL__MOLD_IN_2,1
29458_000_A02_1_COMP_LIMITER__M2_5_X_1_5_TALL__MOLD_IN_3,1
29458_000_A02_1_COMP_LIMITER__M2_5_X_1_5_TALL__MOLD_IN_4,1
29458_000_A02_1_COMP_LIMITER__M2_5_X_1_5_TALL__MOLD_IN_5,1
29458_000_A02_1_COMP_LIMITER__M2_5_X_1_5_TALL__MOLD_IN_6,1
29459_000_B02_1_SCREW__M2_5__6MM__BHCS__MAG_COMPATIBLE,3
29459_000_B02_1_SCREW__M2_5__6MM__BHCS__MAG_COMPATIBLE_1,3
29459_000_B02_1_SCREW__M2_5__6MM__BHCS__MAG_COMPATIBLE_2,3
29562_003_D02_1_CONNECTOR_HOUSING__BATTERY__DROID__P2,7
29586_002_D01_1_REAR_RIGHT_FOOT_COVER__DROID__P2,1
29739_000_A04_1_COVER__BOTTOM__FRONT_MOTOR_NODE__DROID__P2,1
29740_000_A05_1_COVER__TOP__FRONT_MOTOR_NODE__DROID__P2,1
29751_000_D01_1_CELL_HEATER__PCB__ASSY_CELL__BATTERY__DROID__P2,6
29791_001_A01_1_PCBA__ASSY_CELL__BATTERY__DROID__P2,209
29792_003_A01_1_PCBA_ASSY__BATTERY__DROID__P2,223
29800_001_A01_1_PCB__CELL_ASSY__BATTERY__DROID__P2,1
29801_001_A01_1_PCBA_COATED__ASSY_CELL__BATTERY__DROID__P2,212
29804_000_D01_1_CELL_HEATER__PCBA__ASSY_CELL__BATTERY__DROID__P2,6
29806_000_D01_1_CELL_HEATER__COATED__ASSY_CELL__BATTERY__DROID__P2,6
29807_000_B01_1_PCBA_VHB__ASSY_CELL__BATTERY__DROID__P2,1
29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2,1
29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_1,1
29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_2,1
29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_3,1
29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_4,1
29915_001_B01_1_CONTACT_PAD__LID_FLEX_HARNESS__DROID__P2_5,1
29994_001_D01_1_LATERAL_PROP_CAP__DROID__P2,1
29994_001_D01_1_LATERAL_PROP_CAP__DROID__P2_1,1
30026_003_D01_1_LEFT_FOOT_FRONT__DROID__P2,9
30027_004_E01_1_LEFT_FOOT_USW_SUBASSY__LEFT_FRONT_FOOT__DROID__P2,4
30028_003_D01_1_STIFFENER__FRONT_FEET__DROID__P2,1
30028_003_D01_1_STIFFENER__FRONT_FEET__DROID__P2_1,1
30029_001_B02_1_MOUNTING_PLATE__LEFT_FOOT_FRONT__DROID__P2,1
30030_001_B01_1_ADAPTOR_BRACKET__LEFT_FOOT_FRONT__DROID__P2,3
30031_002_C01_1_TOE_CAP__LEFT_FOOT_FRONT__DROID__P2,1
30032_001_C01_1_LEFT_FOOT_COVER__LEFT_FOOT_FRONT__DROID__P2,1
30033_003_D01_1_RIGHT_FOOT_FRONT__DROID__P2,9
30035_004_E01_1_RIGHT_FOOT_USW_SUBASSY__RIGHT_FRONT_FOOT__DROID__P2,4
30039_001_B01_1_MOUNTING_PLATE__RIGHT_FOOT_FRONT__DROID__P2,1
30040_001_B01_1_ADAPTOR_BRACKET__RIGHT_FOOT_FRONT__DROID__P2,3
30041_002_C01_1_TOE_CAP__RIGHT_FOOT_FRONT__DROID__P2,1
30042_001_C01_1_RIGHT_FOOT_COVER__RIGHT_FOOT_FRONT__DROID__P2,1
30043_004_G01_1_BATTERY_SUPPORT_MOUNT__DROID__P2,7
30044_004_G01_1_TOP_BRACKET__BATTERY_SUPPORT_MOUNT__DROID__P2,6
30045_003_E01_1_BOTTOM_BRACKET__BATTERY_SUPPORT_MOUNT__DROID__P2,1
30072_000_A04_1_TOP_COVER_ASSEMBLY__FRONT_MOTOR_NODE__DROID__P2,2
30073_000_A04_1_BOTTOM_COVER_ASSEMBLY__FRONT_MOTOR_NODE__DROID__P2,4
30074_000_A03_1_GASKET__TOP_COVER__FRONT_MOTOR_NODE__DROID__P2,1
30075_000_A03_1_GASKET__BOTTOM_COVER__FRONT_MOTOR_NODE__DROID__P2,1
30108_002_C01_1_REAR_LEFT_TOE_CAP__DROID__P2,1
30122_002_D01_1_REAR_LEFT_FOOT_COVER__DROID__P2,1
30123_002_C01_1_REAR_RIGHT_TOE_CAP__DROID__P2,1
30218_000_A01_1_SCREW__M2__4MM__BHCS,2
30218_000_A01_1_SCREW__M2__4MM__BHCS_1,2
30218_000_A01_1_SCREW__M2__4MM__BHCS_2,2
30218_000_A01_1_SCREW__M2__4MM__BHCS_3,2
30226_000_A02_1_TOP_COVER_ASSEMBLY__AFT_MOTOR_NODE__DROID__P2,3
30227_000_B05_1_BOTTOM_COVER_ASSEMBLY__AFT_MOTOR_NODE__DROID__P2,3
